booking_id,client_id,walker_id,pet_id,service_type,scheduled_at,duration_min,zip,lat,lng,base_price,surge_multiplier,final_price,status,hour_of_day,day_of_week,month,is_peak_hour,is_weekend
B000030,C0022,W0006,P0004,walk_30,2023-01-01T14:15:00,30,07106,40.7432,-74.2365,16.0,0.9652,15.44,cancelled,14,6,1,0,1
B000031,C0022,W0004,P0004,walk_60,2023-01-06T07:15:00,60,07106,40.7432,-74.2365,24.0,1.2937,31.05,completed,7,4,1,1,0
B000032,C0022,W0002,P0004,walk_30,2023-01-05T06:30:00,30,07106,40.7432,-74.2365,16.0,0.9947,15.92,completed,6,3,1,0,0
B000033,C0024,W0001,P0036,walk_60,2023-01-03T08:00:00,60,07104,40.7587,-74.1624,24.0,1.1814,28.35,completed,8,1,1,1,0
B000034,C0027,W0008,P0021,walk_30,2023-01-03T14:15:00,30,07083,40.6998,-74.2612,16.0,1.031,16.5,completed,14,1,1,0,0
B000035,C0027,W0008,P0021,walk_30,2023-01-04T10:45:00,30,07083,40.6998,-74.2612,16.0,0.9876,15.8,completed,10,2,1,0,0
B000036,C0027,W0002,P0021,overnight,2023-01-07T08:45:00,720,07083,40.6998,-74.2612,55.0,1.1093,61.01,completed,8,5,1,1,1
B000037,C0028,W0003,P0040,walk_30,2023-01-06T12:00:00,30,07103,40.7282,-74.2107,16.0,1.0777,17.24,cancelled,12,4,1,0,0
B000038,C0028,W0002,P0040,walk_30,2023-01-01T17:15:00,30,07103,40.7282,-74.2107,16.0,1.0846,17.35,completed,17,6,1,1,1
B000039,C0028,W0008,P0040,walk_60,2023-01-02T06:45:00,60,07103,40.7282,-74.2107,24.0,0.9947,23.87,completed,6,0,1,0,0
B000040,C0028,W0001,P0040,overnight,2023-01-04T08:30:00,720,07103,40.7282,-74.2107,55.0,1.3275,73.01,completed,8,2,1,1,0
B000041,C0028,W0002,P0040,overnight,2023-01-02T19:30:00,720,07103,40.7282,-74.2107,55.0,1.1524,63.38,completed,19,0,1,1,0
B000042,C0029,W0007,P0067,walk_30,2023-01-02T19:00:00,30,07106,40.7432,-74.2365,16.0,1.2131,19.41,completed,19,0,1,1,0
B000043,C0030,W0007,P0035,walk_60,2023-01-01T08:15:00,60,07201,40.6634,-74.2107,24.0,1.1419,27.41,completed,8,6,1,1,1
B000044,C0030,W0007,P0035,walk_60,2023-01-06T19:15:00,60,07201,40.6634,-74.2107,24.0,1.1774,28.26,completed,19,4,1,1,0
B000045,C0030,W0007,P0035,walk_30,2023-01-06T14:15:00,30,07201,40.6634,-74.2107,16.0,0.9805,15.69,completed,14,4,1,0,0
B000046,C0030,W0007,P0035,overnight,2023-01-03T15:30:00,720,07201,40.6634,-74.2107,55.0,1.0055,55.3,completed,15,1,1,0,0
B000047,C0030,W0007,P0035,walk_60,2023-01-04T07:30:00,60,07201,40.6634,-74.2107,24.0,1.187,28.49,completed,7,2,1,1,0
B000048,C0030,W0007,P0035,walk_60,2023-01-04T19:30:00,60,07201,40.6634,-74.2107,24.0,1.1323,27.18,cancelled,19,2,1,1,0
B000049,C0031,W0005,P0006,drop_in,2023-01-07T18:00:00,20,07208,40.6734,-74.1987,14.0,1.0987,15.38,completed,18,5,1,1,1
B000050,C0031,W0005,P0006,overnight,2023-01-05T18:45:00,720,07208,40.6734,-74.1987,55.0,1.2546,69.0,completed,18,3,1,1,0
B000051,C0031,W0002,P0006,walk_60,2023-01-07T12:45:00,60,07208,40.6734,-74.1987,24.0,0.9768,23.44,completed,12,5,1,0,1
B000052,C0032,W0003,P0038,walk_30,2023-01-06T19:00:00,30,07018,40.7537,-74.2321,16.0,1.1756,18.81,completed,19,4,1,1,0
B000053,C0032,W0001,P0038,walk_30,2023-01-06T10:45:00,30,07018,40.7537,-74.2321,16.0,0.9815,15.7,completed,10,4,1,0,0
B000054,C0032,W0001,P0038,walk_30,2023-01-01T14:45:00,30,07018,40.7537,-74.2321,16.0,0.9514,15.22,completed,14,6,1,0,1
B000055,C0033,W0006,P0053,walk_60,2023-01-03T09:45:00,60,07042,40.8098,-74.2026,24.0,1.2971,31.13,completed,9,1,1,1,0
B000056,C0036,W0005,P0012,drop_in,2023-01-05T13:15:00,20,07042,40.8098,-74.2026,14.0,1.0833,15.17,completed,13,3,1,0,0
B000057,C0036,W0006,P0005,walk_60,2023-01-01T08:15:00,60,07042,40.8098,-74.2026,24.0,1.0996,26.39,completed,8,6,1,1,1
B000058,C0039,W0004,P0050,walk_60,2023-01-04T15:00:00,60,07083,40.6998,-74.2612,24.0,1.0051,24.12,completed,15,2,1,0,0
B000059,C0040,W0008,P0019,drop_in,2023-01-07T09:15:00,20,07302,40.7178,-74.0431,14.0,1.121,15.69,completed,9,5,1,1,1
B000060,C0041,W0005,P0032,overnight,2023-01-07T06:45:00,720,07042,40.8098,-74.2026,55.0,0.9532,52.43,completed,6,5,1,0,1
B000061,C0041,W0002,P0032,walk_60,2023-01-02T18:15:00,60,07042,40.8098,-74.2026,24.0,1.2243,29.38,completed,18,0,1,1,0
B000062,C0042,W0001,P0061,walk_30,2023-01-03T08:30:00,30,07108,40.7151,-74.2154,16.0,1.2916,20.67,completed,8,1,1,1,0
B000063,C0043,W0003,P0032,overnight,2023-01-05T09:45:00,720,07083,40.6998,-74.2612,55.0,1.2613,69.37,completed,9,3,1,1,0
B000064,C0043,W0008,P0032,walk_60,2023-01-05T17:45:00,60,07083,40.6998,-74.2612,24.0,1.2374,29.7,no_show,17,3,1,1,0
B000065,C0044,W0004,P0010,walk_30,2023-01-02T08:45:00,30,07208,40.6734,-74.1987,16.0,1.1811,18.9,completed,8,0,1,1,0
B000066,C0045,W0007,P0044,walk_30,2023-01-06T07:45:00,30,07083,40.6998,-74.2612,16.0,1.2542,20.07,completed,7,4,1,1,0
B000067,C0047,W0002,P0059,walk_60,2023-01-05T07:30:00,60,07208,40.6734,-74.1987,24.0,1.1902,28.56,completed,7,3,1,1,0
B000068,C0047,W0007,P0059,walk_30,2023-01-01T12:15:00,30,07208,40.6734,-74.1987,16.0,0.962,15.39,completed,12,6,1,0,1
B000069,C0048,W0007,P0055,walk_60,2023-01-03T10:30:00,60,07103,40.7282,-74.2107,24.0,1.0297,24.71,completed,10,1,1,0,0
B000070,C0048,W0006,P0069,drop_in,2023-01-07T12:45:00,20,07103,40.7282,-74.2107,14.0,1.0051,14.07,completed,12,5,1,0,1
B000071,C0048,W0005,P0055,walk_30,2023-01-01T16:15:00,30,07103,40.7282,-74.2107,16.0,0.9654,15.45,completed,16,6,1,0,1
B000072,C0048,W0008,P0055,walk_60,2023-01-01T07:00:00,60,07103,40.7282,-74.2107,24.0,1.141,27.38,completed,7,6,1,1,1
B000073,C0050,W0003,P0059,overnight,2023-01-01T13:30:00,720,07201,40.6634,-74.2107,55.0,0.9774,53.76,completed,13,6,1,0,1
B000074,C0050,W0003,P0006,overnight,2023-01-02T10:45:00,720,07201,40.6634,-74.2107,55.0,0.987,54.28,completed,10,0,1,0,0
B000075,C0050,W0007,P0006,walk_30,2023-01-04T19:15:00,30,07201,40.6634,-74.2107,16.0,1.1513,18.42,completed,19,2,1,1,0
B000076,C0050,W0003,P0059,walk_30,2023-01-04T07:30:00,30,07201,40.6634,-74.2107,16.0,1.32,21.12,completed,7,2,1,1,0
B000077,C0050,W0007,P0059,walk_30,2023-01-02T06:00:00,30,07201,40.6634,-74.2107,16.0,1.0382,16.61,completed,6,0,1,0,0
B000078,C0051,W0008,P0054,drop_in,2023-01-04T09:30:00,20,07043,40.8293,-74.1943,14.0,1.2063,16.89,completed,9,2,1,1,0
B000079,C0053,W0004,P0039,walk_60,2023-01-04T07:00:00,60,07208,40.6734,-74.1987,24.0,1.2667,30.4,completed,7,2,1,1,0
B000080,C0055,W0001,P0028,drop_in,2023-01-06T17:30:00,20,07305,40.6987,-74.0876,14.0,1.1571,16.2,completed,17,4,1,1,0
B000081,C0055,W0008,P0028,walk_30,2023-01-06T20:00:00,30,07305,40.6987,-74.0876,16.0,1.0249,16.4,completed,20,4,1,0,0
B000082,C0055,W0004,P0028,drop_in,2023-01-07T10:30:00,20,07305,40.6987,-74.0876,14.0,0.9601,13.44,completed,10,5,1,0,1
B000083,C0055,W0002,P0028,overnight,2023-01-06T09:15:00,720,07305,40.6987,-74.0876,55.0,1.224,67.32,completed,9,4,1,1,0
B000084,C0056,W0006,P0029,walk_30,2023-01-05T17:30:00,30,07042,40.8098,-74.2026,16.0,1.1322,18.12,completed,17,3,1,1,0
B000085,C0056,W0002,P0029,walk_60,2023-01-06T19:45:00,60,07042,40.8098,-74.2026,24.0,1.1378,27.31,completed,19,4,1,1,0
B000086,C0057,W0004,P0004,walk_30,2023-01-03T19:30:00,30,07079,40.7565,-74.2654,16.0,1.2434,19.89,cancelled,19,1,1,1,0
B000087,C0059,W0006,P0008,overnight,2023-01-07T09:30:00,720,07103,40.7282,-74.2107,55.0,1.1166,61.41,completed,9,5,1,1,1
B000088,C0060,W0008,P0047,walk_30,2023-01-07T09:15:00,30,07052,40.8051,-74.2543,16.0,1.0758,17.21,completed,9,5,1,1,1
B000089,C0060,W0008,P0047,drop_in,2023-01-03T16:00:00,20,07052,40.8051,-74.2543,14.0,1.0184,14.26,completed,16,1,1,0,0
B000090,C0060,W0008,P0047,drop_in,2023-01-05T18:45:00,20,07052,40.8051,-74.2543,14.0,1.2111,16.96,completed,18,3,1,1,0
B000091,C0001,W0004,P0043,walk_60,2023-01-12T07:30:00,60,07017,40.7651,-74.2099,24.0,1.2769,30.65,completed,7,3,1,1,0
B000092,C0002,W0007,P0012,drop_in,2023-01-13T07:30:00,20,07043,40.8293,-74.1943,14.0,1.1966,16.75,cancelled,7,4,1,1,0
B000093,C0002,W0002,P0012,walk_30,2023-01-10T15:45:00,30,07043,40.8293,-74.1943,16.0,0.9908,15.85,completed,15,1,1,0,0
B000094,C0002,W0006,P0012,walk_60,2023-01-11T07:45:00,60,07043,40.8293,-74.1943,24.0,1.2691,30.46,completed,7,2,1,1,0
B000095,C0004,W0008,P0042,overnight,2023-01-11T07:00:00,720,07018,40.7537,-74.2321,55.0,1.3261,72.94,completed,7,2,1,1,0
B000096,C0004,W0004,P0042,walk_30,2023-01-13T10:30:00,30,07018,40.7537,-74.2321,16.0,1.004,16.06,completed,10,4,1,0,0
B000097,C0005,W0006,P0016,walk_60,2023-01-10T17:00:00,60,07017,40.7651,-74.2099,24.0,1.1282,27.08,completed,17,1,1,1,0
B000098,C0005,W0002,P0016,overnight,2023-01-08T11:45:00,720,07017,40.7651,-74.2099,55.0,0.9927,54.6,completed,11,6,1,0,1
B000099,C0005,W0006,P0016,walk_60,2023-01-08T07:00:00,60,07017,40.7651,-74.2099,24.0,1.1728,28.15,completed,7,6,1,1,1
B000100,C0005,W0004,P0016,walk_60,2023-01-09T06:00:00,60,07017,40.7651,-74.2099,24.0,1.0272,24.65,completed,6,0,1,0,0
B000101,C0005,W0001,P0016,walk_30,2023-01-14T07:15:00,30,07017,40.7651,-74.2099,16.0,1.1587,18.54,completed,7,5,1,1,1
B000102,C0007,W0003,P0030,walk_30,2023-01-09T20:30:00,30,07305,40.6987,-74.0876,16.0,1.0176,16.28,completed,20,0,1,0,0
B000103,C0007,W0004,P0031,drop_in,2023-01-08T09:30:00,20,07305,40.6987,-74.0876,14.0,1.0677,14.95,completed,9,6,1,1,1
B000104,C0009,W0002,P0002,walk_30,2023-01-09T20:45:00,30,07103,40.7282,-74.2107,16.0,1.006,16.1,completed,20,0,1,0,0
B000105,C0010,W0008,P0040,walk_30,2023-01-12T20:00:00,30,07018,40.7537,-74.2321,16.0,1.0356,16.57,completed,20,3,1,0,0
B000106,C0011,W0008,P0063,walk_60,2023-01-14T15:30:00,60,07108,40.7151,-74.2154,24.0,0.9366,22.48,completed,15,5,1,0,1
B000107,C0011,W0002,P0063,walk_30,2023-01-11T19:45:00,30,07108,40.7151,-74.2154,16.0,1.2162,19.46,completed,19,2,1,1,0
B000108,C0011,W0003,P0063,overnight,2023-01-08T09:30:00,720,07108,40.7151,-74.2154,55.0,1.0796,59.38,completed,9,6,1,1,1
B000109,C0011,W0007,P0063,walk_60,2023-01-12T19:30:00,60,07108,40.7151,-74.2154,24.0,1.1813,28.35,completed,19,3,1,1,0
B000110,C0011,W0004,P0063,walk_30,2023-01-08T15:00:00,30,07108,40.7151,-74.2154,16.0,0.953,15.25,completed,15,6,1,0,1
B000111,C0012,W0007,P0029,walk_30,2023-01-10T14:45:00,30,07043,40.8293,-74.1943,16.0,1.022,16.35,completed,14,1,1,0,0
B000112,C0012,W0006,P0029,overnight,2023-01-10T20:30:00,720,07043,40.8293,-74.1943,55.0,1.0193,56.06,completed,20,1,1,0,0
B000113,C0013,W0002,P0026,drop_in,2023-01-08T09:00:00,20,07018,40.7537,-74.2321,14.0,1.0764,15.07,completed,9,6,1,1,1
B000114,C0014,W0001,P0046,drop_in,2023-01-14T19:15:00,20,07305,40.6987,-74.0876,14.0,1.0903,15.26,completed,19,5,1,1,1
B000115,C0015,W0001,P0070,drop_in,2023-01-14T19:45:00,20,07018,40.7537,-74.2321,14.0,1.084,15.18,completed,19,5,1,1,1
B000116,C0015,W0003,P0070,walk_30,2023-01-12T07:15:00,30,07018,40.7537,-74.2321,16.0,1.2103,19.36,completed,7,3,1,1,0
B000117,C0015,W0002,P0070,drop_in,2023-01-14T10:30:00,20,07018,40.7537,-74.2321,14.0,0.9581,13.41,completed,10,5,1,0,1
B000118,C0016,W0005,P0001,walk_30,2023-01-14T14:00:00,30,07106,40.7432,-74.2365,16.0,0.9416,15.07,completed,14,5,1,0,1
B000119,C0017,W0007,P0019,walk_30,2023-01-10T11:30:00,30,07201,40.6634,-74.2107,16.0,1.0267,16.43,completed,11,1,1,0,0
B000120,C0017,W0003,P0019,drop_in,2023-01-13T07:45:00,20,07201,40.6634,-74.2107,14.0,1.294,18.12,no_show,7,4,1,1,0
B000121,C0017,W0007,P0019,overnight,2023-01-08T18:15:00,720,07201,40.6634,-74.2107,55.0,1.0708,58.89,completed,18,6,1,1,1
B000122,C0018,W0002,P0020,overnight,2023-01-10T07:30:00,720,07108,40.7151,-74.2154,55.0,1.1992,65.96,completed,7,1,1,1,0
B000123,C0018,W0005,P0020,walk_30,2023-01-08T14:00:00,30,07108,40.7151,-74.2154,16.0,0.9618,15.39,completed,14,6,1,0,1
B000124,C0018,W0005,P0020,walk_60,2023-01-11T16:45:00,60,07108,40.7151,-74.2154,24.0,1.0236,24.57,completed,16,2,1,0,0
B000125,C0018,W0005,P0020,walk_30,2023-01-11T09:00:00,30,07108,40.7151,-74.2154,16.0,1.2594,20.15,completed,9,2,1,1,0
B000126,C0018,W0001,P0020,walk_60,2023-01-09T16:45:00,60,07108,40.7151,-74.2154,24.0,0.9889,23.73,cancelled,16,0,1,0,0
B000127,C0018,W0005,P0020,walk_60,2023-01-14T17:15:00,60,07108,40.7151,-74.2154,24.0,1.0595,25.43,completed,17,5,1,1,1
B000128,C0019,W0002,P0034,drop_in,2023-01-13T06:45:00,20,07042,40.8098,-74.2026,14.0,1.0,14.0,completed,6,4,1,0,0
B000129,C0019,W0002,P0037,walk_60,2023-01-12T15:30:00,60,07042,40.8098,-74.2026,24.0,1.0303,24.73,completed,15,3,1,0,0
B000130,C0019,W0002,P0037,walk_30,2023-01-08T08:45:00,30,07042,40.8098,-74.2026,16.0,1.1282,18.05,completed,8,6,1,1,1
B000131,C0019,W0005,P0034,walk_30,2023-01-13T06:45:00,30,07042,40.8098,-74.2026,16.0,1.0015,16.02,cancelled,6,4,1,0,0
B000132,C0019,W0006,P0037,walk_30,2023-01-09T14:45:00,30,07042,40.8098,-74.2026,16.0,0.9816,15.71,completed,14,0,1,0,0
B000133,C0020,W0006,P0043,drop_in,2023-01-09T13:45:00,20,07042,40.8098,-74.2026,14.0,1.0544,14.76,completed,13,0,1,0,0
B000134,C0020,W0002,P0043,walk_60,2023-01-10T10:30:00,60,07042,40.8098,-74.2026,24.0,1.0251,24.6,completed,10,1,1,0,0
B000135,C0021,W0004,P0068,walk_60,2023-01-13T19:00:00,60,07302,40.7178,-74.0431,24.0,1.1674,28.02,cancelled,19,4,1,1,0
B000136,C0021,W0004,P0052,walk_60,2023-01-13T09:15:00,60,07302,40.7178,-74.0431,24.0,1.1977,28.74,completed,9,4,1,1,0
B000137,C0022,W0002,P0004,walk_30,2023-01-12T07:15:00,30,07106,40.7432,-74.2365,16.0,1.3281,21.25,completed,7,3,1,1,0
B000138,C0022,W0006,P0004,walk_30,2023-01-11T07:45:00,30,07106,40.7432,-74.2365,16.0,1.1985,19.18,completed,7,2,1,1,0
B000139,C0022,W0005,P0004,walk_60,2023-01-11T07:30:00,60,07106,40.7432,-74.2365,24.0,1.231,29.54,completed,7,2,1,1,0
B000140,C0022,W0001,P0004,walk_30,2023-01-11T08:45:00,30,07106,40.7432,-74.2365,16.0,1.2337,19.74,completed,8,2,1,1,0
B000141,C0023,W0006,P0056,walk_30,2023-01-13T16:00:00,30,07042,40.8098,-74.2026,16.0,1.0052,16.08,completed,16,4,1,0,0
B000142,C0028,W0008,P0040,walk_60,2023-01-14T07:00:00,60,07103,40.7282,-74.2107,24.0,1.1007,26.42,completed,7,5,1,1,1
B000143,C0029,W0008,P0058,walk_30,2023-01-09T16:00:00,30,07106,40.7432,-74.2365,16.0,1.0271,16.43,completed,16,0,1,0,0
B000144,C0029,W0003,P0058,walk_60,2023-01-13T18:00:00,60,07106,40.7432,-74.2365,24.0,1.1534,27.68,completed,18,4,1,1,0
B000145,C0030,W0007,P0035,drop_in,2023-01-11T09:15:00,20,07201,40.6634,-74.2107,14.0,1.3227,18.52,completed,9,2,1,1,0
B000146,C0030,W0003,P0035,walk_30,2023-01-14T17:30:00,30,07201,40.6634,-74.2107,16.0,1.0359,16.57,completed,17,5,1,1,1
B000147,C0030,W0007,P0035,walk_30,2023-01-13T08:45:00,30,07201,40.6634,-74.2107,16.0,1.2912,20.66,completed,8,4,1,1,0
B000148,C0031,W0006,P0006,walk_30,2023-01-12T17:15:00,30,07208,40.6734,-74.1987,16.0,1.1987,19.18,completed,17,3,1,1,0
B000149,C0031,W0007,P0006,walk_60,2023-01-10T08:30:00,60,07208,40.6734,-74.1987,24.0,1.2704,30.49,cancelled,8,1,1,1,0
B000150,C0031,W0006,P0006,walk_60,2023-01-10T19:45:00,60,07208,40.6734,-74.1987,24.0,1.2105,29.05,completed,19,1,1,1,0
B000151,C0032,W0007,P0038,walk_60,2023-01-13T11:00:00,60,07018,40.7537,-74.2321,24.0,1.0135,24.32,completed,11,4,1,0,0
B000152,C0034,W0007,P0048,walk_30,2023-01-09T09:30:00,30,07201,40.6634,-74.2107,16.0,1.2107,19.37,completed,9,0,1,1,0
B000153,C0034,W0003,P0048,walk_30,2023-01-08T09:30:00,30,07201,40.6634,-74.2107,16.0,1.1375,18.2,completed,9,6,1,1,1
B000154,C0035,W0007,P0014,walk_60,2023-01-12T13:15:00,60,07302,40.7178,-74.0431,24.0,1.0251,24.6,completed,13,3,1,0,0
B000155,C0035,W0008,P0014,walk_30,2023-01-14T17:15:00,30,07302,40.7178,-74.0431,16.0,1.067,17.07,completed,17,5,1,1,1
B000156,C0035,W0005,P0066,walk_30,2023-01-09T07:45:00,30,07302,40.7178,-74.0431,16.0,1.2119,19.39,completed,7,0,1,1,0
B000157,C0035,W0004,P0066,walk_60,2023-01-14T09:45:00,60,07302,40.7178,-74.0431,24.0,1.1393,27.34,completed,9,5,1,1,1
B000158,C0035,W0005,P0066,walk_30,2023-01-11T14:45:00,30,07302,40.7178,-74.0431,16.0,1.0077,16.12,completed,14,2,1,0,0
B000159,C0036,W0006,P0005,walk_30,2023-01-09T08:15:00,30,07042,40.8098,-74.2026,16.0,1.3154,21.05,completed,8,0,1,1,0
B000160,C0036,W0006,P0005,walk_30,2023-01-11T08:30:00,30,07042,40.8098,-74.2026,16.0,1.2892,20.63,completed,8,2,1,1,0
B000161,C0036,W0002,P0005,walk_30,2023-01-08T09:30:00,30,07042,40.8098,-74.2026,16.0,1.0955,17.53,completed,9,6,1,1,1
B000162,C0037,W0002,P0027,walk_30,2023-01-09T13:45:00,30,07042,40.8098,-74.2026,16.0,1.0782,17.25,completed,13,0,1,0,0
B000163,C0038,W0001,P0060,drop_in,2023-01-08T20:45:00,20,07103,40.7282,-74.2107,14.0,0.9551,13.37,completed,20,6,1,0,1
B000164,C0038,W0004,P0051,walk_30,2023-01-08T18:30:00,30,07103,40.7282,-74.2107,16.0,1.0587,16.94,completed,18,6,1,1,1
B000165,C0041,W0002,P0032,walk_30,2023-01-13T09:30:00,30,07042,40.8098,-74.2026,16.0,1.1802,18.88,completed,9,4,1,1,0
B000166,C0041,W0006,P0032,walk_30,2023-01-11T12:15:00,30,07042,40.8098,-74.2026,16.0,1.0483,16.77,completed,12,2,1,0,0
B000167,C0041,W0005,P0032,walk_60,2023-01-08T07:00:00,60,07042,40.8098,-74.2026,24.0,1.1562,27.75,completed,7,6,1,1,1
B000168,C0041,W0002,P0032,walk_60,2023-01-13T09:45:00,60,07042,40.8098,-74.2026,24.0,1.2125,29.1,completed,9,4,1,1,0
B000169,C0041,W0006,P0032,walk_60,2023-01-09T08:45:00,60,07042,40.8098,-74.2026,24.0,1.1842,28.42,completed,8,0,1,1,0
B000170,C0042,W0004,P0061,walk_30,2023-01-11T09:00:00,30,07108,40.7151,-74.2154,16.0,1.2212,19.54,completed,9,2,1,1,0
B000171,C0044,W0007,P0010,walk_60,2023-01-10T08:15:00,60,07208,40.6734,-74.1987,24.0,1.2816,30.76,completed,8,1,1,1,0
B000172,C0044,W0001,P0010,walk_60,2023-01-10T17:00:00,60,07208,40.6734,-74.1987,24.0,1.2379,29.71,completed,17,1,1,1,0
B000173,C0046,W0005,P0010,overnight,2023-01-11T17:30:00,720,07083,40.6998,-74.2612,55.0,1.1682,64.25,completed,17,2,1,1,0
B000174,C0046,W0006,P0010,walk_30,2023-01-09T08:00:00,30,07083,40.6998,-74.2612,16.0,1.1812,18.9,completed,8,0,1,1,0
B000175,C0046,W0008,P0033,walk_60,2023-01-14T17:15:00,60,07083,40.6998,-74.2612,24.0,1.0869,26.09,completed,17,5,1,1,1
B000176,C0046,W0001,P0033,walk_30,2023-01-08T18:45:00,30,07083,40.6998,-74.2612,16.0,1.0481,16.77,completed,18,6,1,1,1
B000177,C0046,W0005,P0033,walk_30,2023-01-08T18:30:00,30,07083,40.6998,-74.2612,16.0,1.119,17.9,completed,18,6,1,1,1
B000178,C0048,W0004,P0069,drop_in,2023-01-10T09:00:00,20,07103,40.7282,-74.2107,14.0,1.2318,17.25,completed,9,1,1,1,0
B000179,C0048,W0005,P0055,drop_in,2023-01-14T10:30:00,20,07103,40.7282,-74.2107,14.0,0.9676,13.55,completed,10,5,1,0,1
B000180,C0048,W0007,P0069,walk_30,2023-01-11T11:45:00,30,07103,40.7282,-74.2107,16.0,1.0909,17.45,completed,11,2,1,0,0
B000181,C0049,W0005,P0061,walk_60,2023-01-11T17:30:00,60,07103,40.7282,-74.2107,24.0,1.2182,29.24,completed,17,2,1,1,0
B000182,C0050,W0007,P0059,walk_60,2023-01-12T19:15:00,60,07201,40.6634,-74.2107,24.0,1.1339,27.21,completed,19,3,1,1,0
