review_id,booking_id,client_id,walker_id,rating,body,sentiment_label,posted_at
R000020,B000027,C0020,W0002,5,5 stars every time. Molly has improved so much with consistent walks.,positive,2023-01-06T03:45:00
R000021,B000028,C0022,W0006,5,Our anxious dog warmed up to Chris immediately. That says everything.,positive,2023-01-02T22:30:00
R000022,B000029,C0022,W0006,5,Chris is so reliable and sends great photo updates every time.,positive,2023-01-06T19:30:00
R000023,B000031,C0022,W0004,5,"Professional, caring, and thorough. Jordan sends detailed reports after each visit.",positive,2023-01-07T15:15:00
R000024,B000033,C0024,W0001,4,Always on time and so communicative. Amara is a gem.,positive,2023-01-03T13:00:00
R000025,B000034,C0027,W0008,5,Always on time and so communicative. Marcus is a gem.,positive,2023-01-03T23:15:00
R000026,B000035,C0027,W0008,5,Marcus treats Bentley like her own. We couldn't ask for more.,positive,2023-01-06T18:45:00
R000027,B000036,C0027,W0002,5,Always on time and so communicative. Devon is a gem.,positive,2023-01-07T17:45:00
R000028,B000038,C0028,W0002,4,Zeus absolutely adores Devon. We feel so lucky to have found her.,positive,2023-01-04T00:15:00
R000029,B000039,C0028,W0008,3,Good experience overall. Zeus was well taken care of.,neutral,2023-01-03T15:45:00
R000030,B000040,C0028,W0001,4,5 stars every time. Zeus has improved so much with consistent walks.,positive,2023-01-06T20:30:00
R000031,B000041,C0028,W0002,5,5 stars every time. Zeus has improved so much with consistent walks.,positive,2023-01-05T04:30:00
R000032,B000042,C0029,W0007,5,Best walker we've ever had. Mochi gets so excited when Natalie arrives.,positive,2023-01-04T02:00:00
R000033,B000043,C0030,W0007,5,Our anxious dog warmed up to Natalie immediately. That says everything.,positive,2023-01-01T12:15:00
R000034,B000045,C0030,W0007,1,Felt rushed. Would have appreciated more care with Stella.,negative,2023-01-06T16:15:00
R000035,B000049,C0031,W0005,3,Priya is good. Gus seems comfortable with them.,neutral,2023-01-09T01:00:00
R000036,B000050,C0031,W0005,5,"Professional, caring, and thorough. Priya sends detailed reports after each visit.",positive,2023-01-06T06:45:00
R000037,B000051,C0031,W0002,5,5 stars every time. Gus has improved so much with consistent walks.,positive,2023-01-09T17:45:00
R000038,B000052,C0032,W0003,5,Always on time and so communicative. Cleo is a gem.,positive,2023-01-07T12:00:00
R000039,B000053,C0032,W0001,3,Nothing to complain about. Would use again.,neutral,2023-01-08T12:45:00
R000040,B000054,C0032,W0001,5,5 stars every time. Bella has improved so much with consistent walks.,positive,2023-01-04T09:45:00
R000041,B000055,C0033,W0006,5,Chris is so reliable and sends great photo updates every time.,positive,2023-01-04T14:45:00
R000042,B000056,C0036,W0005,4,Priya treats Harley like her own. We couldn't ask for more.,positive,2023-01-06T10:15:00
R000043,B000057,C0036,W0006,5,Best walker we've ever had. Bella gets so excited when Chris arrives.,positive,2023-01-03T13:15:00
R000044,B000058,C0039,W0004,4,Jordan treats Lily like her own. We couldn't ask for more.,positive,2023-01-06T09:00:00
R000045,B000059,C0040,W0008,4,5 stars every time. Shadow has improved so much with consistent walks.,positive,2023-01-09T08:15:00
R000046,B000060,C0041,W0005,5,Our anxious dog warmed up to Priya immediately. That says everything.,positive,2023-01-09T09:45:00
R000047,B000065,C0044,W0004,5,Best walker we've ever had. Dexter gets so excited when Jordan arrives.,positive,2023-01-02T13:45:00
R000048,B000066,C0045,W0007,4,Natalie goes above and beyond. Highly recommend to anyone in the area.,positive,2023-01-08T10:45:00
R000049,B000068,C0047,W0007,5,Absolutely love Natalie! Sam is always tired and happy after walks.,positive,2023-01-02T12:15:00
R000050,B000069,C0048,W0007,5,Luna absolutely adores Natalie. We feel so lucky to have found her.,positive,2023-01-05T22:30:00
R000051,B000071,C0048,W0005,4,"Professional, caring, and thorough. Priya sends detailed reports after each visit.",positive,2023-01-03T05:15:00
R000052,B000072,C0048,W0008,4,5 stars every time. Luna has improved so much with consistent walks.,positive,2023-01-02T17:00:00
R000053,B000073,C0050,W0003,5,5 stars every time. Sam has improved so much with consistent walks.,positive,2023-01-02T01:30:00
R000054,B000074,C0050,W0003,4,Gus absolutely adores Cleo. We feel so lucky to have found her.,positive,2023-01-03T03:45:00
R000055,B000075,C0050,W0007,5,Our anxious dog warmed up to Natalie immediately. That says everything.,positive,2023-01-07T00:15:00
R000056,B000077,C0050,W0007,5,Natalie is so reliable and sends great photo updates every time.,positive,2023-01-04T00:00:00
R000057,B000078,C0051,W0008,3,Good experience overall. Angel was well taken care of.,neutral,2023-01-05T07:30:00
R000058,B000079,C0053,W0004,5,Best walker we've ever had. Penny gets so excited when Jordan arrives.,positive,2023-01-07T06:00:00
R000059,B000081,C0055,W0008,4,Always on time and so communicative. Marcus is a gem.,positive,2023-01-08T23:00:00
R000060,B000082,C0055,W0004,4,"Professional, caring, and thorough. Jordan sends detailed reports after each visit.",positive,2023-01-09T12:30:00
R000061,B000083,C0055,W0002,3,"Reliable and punctual. Does what's asked, communication is fine.",neutral,2023-01-07T20:15:00
R000062,B000084,C0056,W0006,5,Bentley absolutely adores Chris. We feel so lucky to have found her.,positive,2023-01-06T00:30:00
R000063,B000085,C0056,W0002,5,Bentley absolutely adores Devon. We feel so lucky to have found her.,positive,2023-01-08T15:45:00
R000064,B000087,C0059,W0006,5,Always on time and so communicative. Chris is a gem.,positive,2023-01-09T12:30:00
R000065,B000088,C0060,W0008,5,Our anxious dog warmed up to Marcus immediately. That says everything.,positive,2023-01-09T20:15:00
R000066,B000089,C0060,W0008,4,Marcus treats Bruno like her own. We couldn't ask for more.,positive,2023-01-04T04:00:00
R000067,B000090,C0060,W0008,4,Bruno absolutely adores Marcus. We feel so lucky to have found her.,positive,2023-01-06T00:45:00
R000068,B000091,C0001,W0004,5,Always on time and so communicative. Jordan is a gem.,positive,2023-01-12T17:30:00
R000069,B000093,C0002,W0002,4,"Professional, caring, and thorough. Devon sends detailed reports after each visit.",positive,2023-01-11T09:45:00
R000070,B000094,C0002,W0006,4,Always on time and so communicative. Chris is a gem.,positive,2023-01-13T22:45:00
R000071,B000097,C0005,W0006,5,Chris treats Gus like her own. We couldn't ask for more.,positive,2023-01-11T23:00:00
R000072,B000098,C0005,W0002,5,Absolutely love Devon! Gus is always tired and happy after walks.,positive,2023-01-08T17:45:00
R000073,B000099,C0005,W0006,5,"Professional, caring, and thorough. Chris sends detailed reports after each visit.",positive,2023-01-10T19:00:00
R000074,B000101,C0005,W0001,4,Amara is so reliable and sends great photo updates every time.,positive,2023-01-14T20:15:00
R000075,B000102,C0007,W0003,5,Cleo treats Chloe like her own. We couldn't ask for more.,positive,2023-01-12T02:30:00
R000076,B000104,C0009,W0002,5,"Professional, caring, and thorough. Devon sends detailed reports after each visit.",positive,2023-01-12T20:45:00
R000077,B000105,C0010,W0008,5,Zeus absolutely adores Marcus. We feel so lucky to have found her.,positive,2023-01-12T23:00:00
R000078,B000108,C0011,W0003,3,Fine experience. Gets the job done.,neutral,2023-01-10T20:30:00
R000079,B000109,C0011,W0007,5,Our anxious dog warmed up to Natalie immediately. That says everything.,positive,2023-01-14T16:30:00
R000080,B000110,C0011,W0004,5,Jordan goes above and beyond. Highly recommend to anyone in the area.,positive,2023-01-10T05:00:00
R000081,B000111,C0012,W0007,5,Natalie is so reliable and sends great photo updates every time.,positive,2023-01-12T16:45:00
R000082,B000113,C0013,W0002,5,Always on time and so communicative. Devon is a gem.,positive,2023-01-10T18:00:00
R000083,B000114,C0014,W0001,5,"Professional, caring, and thorough. Amara sends detailed reports after each visit.",positive,2023-01-16T21:15:00
R000084,B000116,C0015,W0003,4,Cooper absolutely adores Cleo. We feel so lucky to have found her.,positive,2023-01-14T12:15:00
R000085,B000117,C0015,W0002,5,5 stars every time. Cooper has improved so much with consistent walks.,positive,2023-01-17T07:30:00
R000086,B000118,C0016,W0005,4,Best walker we've ever had. Oscar gets so excited when Priya arrives.,positive,2023-01-16T01:00:00
R000087,B000119,C0017,W0007,2,"Not a bad walker but not consistent. Some days great, some days not.",negative,2023-01-12T18:30:00
R000088,B000121,C0017,W0007,5,Always on time and so communicative. Natalie is a gem.,positive,2023-01-11T12:15:00
R000089,B000123,C0018,W0005,5,Absolutely love Priya! Harley is always tired and happy after walks.,positive,2023-01-10T18:00:00
R000090,B000124,C0018,W0005,4,Absolutely love Priya! Harley is always tired and happy after walks.,positive,2023-01-14T10:45:00
R000091,B000125,C0018,W0005,5,Always on time and so communicative. Priya is a gem.,positive,2023-01-14T02:00:00
R000092,B000128,C0019,W0002,5,Always on time and so communicative. Devon is a gem.,positive,2023-01-13T22:45:00
R000093,B000132,C0019,W0006,5,Our anxious dog warmed up to Chris immediately. That says everything.,positive,2023-01-11T01:45:00
R000094,B000134,C0020,W0002,2,Felt rushed. Would have appreciated more care with Maggie.,negative,2023-01-10T18:30:00
R000095,B000137,C0022,W0002,5,Absolutely love Devon! Bear is always tired and happy after walks.,positive,2023-01-12T20:15:00
R000096,B000139,C0022,W0005,4,Bear absolutely adores Priya. We feel so lucky to have found her.,positive,2023-01-14T00:30:00
R000097,B000141,C0023,W0006,4,Always on time and so communicative. Chris is a gem.,positive,2023-01-15T20:00:00
R000098,B000142,C0028,W0008,5,"Professional, caring, and thorough. Marcus sends detailed reports after each visit.",positive,2023-01-14T13:00:00
R000099,B000143,C0029,W0008,4,Absolutely love Marcus! Angel is always tired and happy after walks.,positive,2023-01-10T06:00:00
R000100,B000144,C0029,W0003,4,Angel absolutely adores Cleo. We feel so lucky to have found her.,positive,2023-01-15T01:00:00
R000101,B000145,C0030,W0007,5,"Professional, caring, and thorough. Natalie sends detailed reports after each visit.",positive,2023-01-11T10:15:00
R000102,B000146,C0030,W0003,4,5 stars every time. Stella has improved so much with consistent walks.,positive,2023-01-14T22:30:00
R000103,B000147,C0030,W0007,4,"Professional, caring, and thorough. Natalie sends detailed reports after each visit.",positive,2023-01-15T00:45:00
R000104,B000148,C0031,W0006,5,Chris goes above and beyond. Highly recommend to anyone in the area.,positive,2023-01-15T10:15:00
R000105,B000153,C0034,W0003,5,Coco absolutely adores Cleo. We feel so lucky to have found her.,positive,2023-01-11T09:30:00
R000106,B000157,C0035,W0004,5,Jordan goes above and beyond. Highly recommend to anyone in the area.,positive,2023-01-14T14:45:00
R000107,B000158,C0035,W0005,5,Priya treats Murphy like her own. We couldn't ask for more.,positive,2023-01-14T13:45:00
R000108,B000159,C0036,W0006,5,Best walker we've ever had. Bella gets so excited when Chris arrives.,positive,2023-01-09T13:15:00
R000109,B000161,C0036,W0002,5,Our anxious dog warmed up to Devon immediately. That says everything.,positive,2023-01-09T08:30:00
R000110,B000162,C0037,W0002,4,Best walker we've ever had. Bentley gets so excited when Devon arrives.,positive,2023-01-11T18:45:00
R000111,B000163,C0038,W0001,4,Best walker we've ever had. Shadow gets so excited when Amara arrives.,positive,2023-01-09T23:45:00
R000112,B000164,C0038,W0004,5,Ellie absolutely adores Jordan. We feel so lucky to have found her.,positive,2023-01-09T03:30:00
R000113,B000165,C0041,W0002,5,Absolutely love Devon! Lucy is always tired and happy after walks.,positive,2023-01-13T20:30:00
R000114,B000166,C0041,W0006,5,Always on time and so communicative. Chris is a gem.,positive,2023-01-14T05:15:00
R000115,B000168,C0041,W0002,4,Best walker we've ever had. Lucy gets so excited when Devon arrives.,positive,2023-01-14T18:45:00
R000116,B000169,C0041,W0006,4,"Professional, caring, and thorough. Chris sends detailed reports after each visit.",positive,2023-01-12T01:45:00
R000117,B000170,C0042,W0004,5,Best walker we've ever had. Lily gets so excited when Jordan arrives.,positive,2023-01-13T20:00:00
R000118,B000171,C0044,W0007,5,Dexter absolutely adores Natalie. We feel so lucky to have found her.,positive,2023-01-11T19:15:00
R000119,B000172,C0044,W0001,5,Dexter absolutely adores Amara. We feel so lucky to have found her.,positive,2023-01-11T13:00:00
R000120,B000173,C0046,W0005,3,"Solid service, no complaints. Dexter always comes back walked.",neutral,2023-01-13T05:30:00
R000121,B000175,C0046,W0008,4,Marcus treats Gracie like her own. We couldn't ask for more.,positive,2023-01-17T11:15:00
R000122,B000176,C0046,W0001,2,Communication could be better. Didn't hear back for hours.,negative,2023-01-10T06:45:00
R000123,B000179,C0048,W0005,5,Our anxious dog warmed up to Priya immediately. That says everything.,positive,2023-01-16T13:30:00
R000124,B000181,C0049,W0005,5,Priya treats Lily like her own. We couldn't ask for more.,positive,2023-01-14T08:30:00
R000125,B000182,C0050,W0007,5,Best walker we've ever had. Sam gets so excited when Natalie arrives.,positive,2023-01-15T19:15:00
R000126,B000183,C0050,W0007,5,Natalie treats Sam like her own. We couldn't ask for more.,positive,2023-01-12T22:30:00
R000127,B000186,C0052,W0002,5,Lola absolutely adores Devon. We feel so lucky to have found her.,positive,2023-01-14T12:15:00
R000128,B000187,C0054,W0003,5,"Professional, caring, and thorough. Cleo sends detailed reports after each visit.",positive,2023-01-13T03:00:00
R000129,B000190,C0055,W0004,5,"Professional, caring, and thorough. Jordan sends detailed reports after each visit.",positive,2023-01-13T19:30:00
R000130,B000193,C0056,W0002,4,Devon goes above and beyond. Highly recommend to anyone in the area.,positive,2023-01-11T11:00:00
R000131,B000194,C0058,W0006,5,5 stars every time. Gus has improved so much with consistent walks.,positive,2023-01-12T19:00:00
R000132,B000196,C0059,W0003,4,Ruby absolutely adores Cleo. We feel so lucky to have found her.,positive,2023-01-09T16:15:00
R000133,B000198,C0059,W0008,5,"Professional, caring, and thorough. Marcus sends detailed reports after each visit.",positive,2023-01-12T06:45:00
R000134,B000202,C0001,W0006,5,Always on time and so communicative. Chris is a gem.,positive,2023-01-20T08:15:00
R000135,B000203,C0001,W0003,4,"Professional, caring, and thorough. Cleo sends detailed reports after each visit.",positive,2023-01-20T22:30:00
R000136,B000204,C0002,W0003,4,Best walker we've ever had. Harley gets so excited when Cleo arrives.,positive,2023-01-22T16:15:00
R000137,B000206,C0002,W0004,4,Always on time and so communicative. Jordan is a gem.,positive,2023-01-22T14:30:00
R000138,B000207,C0002,W0005,5,Priya goes above and beyond. Highly recommend to anyone in the area.,positive,2023-01-22T17:30:00
R000139,B000209,C0004,W0008,4,Always on time and so communicative. Marcus is a gem.,positive,2023-01-20T16:45:00
R000140,B000210,C0004,W0006,5,Willow absolutely adores Chris. We feel so lucky to have found her.,positive,2023-01-23T18:30:00
R000141,B000211,C0004,W0006,4,Best walker we've ever had. Willow gets so excited when Chris arrives.,positive,2023-01-20T08:00:00
R000142,B000212,C0005,W0002,5,Gus absolutely adores Devon. We feel so lucky to have found her.,positive,2023-01-17T00:15:00
R000143,B000214,C0007,W0004,4,Our anxious dog warmed up to Jordan immediately. That says everything.,positive,2023-01-21T12:30:00
R000144,B000215,C0008,W0008,5,Marcus goes above and beyond. Highly recommend to anyone in the area.,positive,2023-01-18T23:30:00
R000145,B000216,C0011,W0004,5,Absolutely love Jordan! Bentley is always tired and happy after walks.,positive,2023-01-19T05:15:00
R000146,B000218,C0011,W0007,5,5 stars every time. Bentley has improved so much with consistent walks.,positive,2023-01-20T02:30:00
R000147,B000219,C0012,W0006,5,Chris is so reliable and sends great photo updates every time.,positive,2023-01-22T07:15:00
R000148,B000220,C0013,W0002,5,Best walker we've ever had. Biscuit gets so excited when Devon arrives.,positive,2023-01-24T00:30:00
R000149,B000222,C0016,W0001,4,Our anxious dog warmed up to Amara immediately. That says everything.,positive,2023-01-22T06:00:00
R000150,B000223,C0018,W0003,5,"Professional, caring, and thorough. Cleo sends detailed reports after each visit.",positive,2023-01-18T23:45:00
R000151,B000225,C0020,W0006,5,Chris is so reliable and sends great photo updates every time.,positive,2023-01-22T12:45:00
R000152,B000226,C0022,W0007,5,Natalie treats Bear like her own. We couldn't ask for more.,positive,2023-01-18T08:00:00
R000153,B000228,C0025,W0001,3,"Reliable and punctual. Does what's asked, communication is fine.",neutral,2023-01-22T03:15:00
R000154,B000230,C0028,W0001,1,Walk was cut short. Zeus came back with energy still to burn.,negative,2023-01-18T06:15:00
R000155,B000231,C0028,W0007,4,Best walker we've ever had. Zeus gets so excited when Natalie arrives.,positive,2023-01-22T00:15:00
R000156,B000234,C0030,W0007,4,"Professional, caring, and thorough. Natalie sends detailed reports after each visit.",positive,2023-01-20T13:30:00
R000157,B000237,C0031,W0005,5,Our anxious dog warmed up to Priya immediately. That says everything.,positive,2023-01-22T00:30:00
R000158,B000239,C0031,W0008,4,Always on time and so communicative. Marcus is a gem.,positive,2023-01-18T09:30:00
R000159,B000241,C0032,W0001,5,Bella absolutely adores Amara. We feel so lucky to have found her.,positive,2023-01-17T10:15:00
R000160,B000242,C0034,W0007,5,Absolutely love Natalie! Coco is always tired and happy after walks.,positive,2023-01-18T13:30:00
R000161,B000243,C0034,W0007,5,Natalie treats Coco like her own. We couldn't ask for more.,positive,2023-01-22T08:15:00
R000162,B000244,C0034,W0007,5,Natalie goes above and beyond. Highly recommend to anyone in the area.,positive,2023-01-19T04:30:00
R000163,B000245,C0034,W0003,4,"Professional, caring, and thorough. Cleo sends detailed reports after each visit.",positive,2023-01-21T00:15:00
R000164,B000248,C0035,W0008,4,Murphy absolutely adores Marcus. We feel so lucky to have found her.,positive,2023-01-18T00:30:00
R000165,B000249,C0035,W0005,5,Priya goes above and beyond. Highly recommend to anyone in the area.,positive,2023-01-21T01:45:00
R000166,B000250,C0035,W0005,5,Molly absolutely adores Priya. We feel so lucky to have found her.,positive,2023-01-21T10:45:00
R000167,B000251,C0036,W0002,5,Our anxious dog warmed up to Devon immediately. That says everything.,positive,2023-01-17T10:15:00
R000168,B000255,C0037,W0006,4,Always on time and so communicative. Chris is a gem.,positive,2023-01-16T08:00:00
R000169,B000257,C0038,W0004,5,Best walker we've ever had. Ellie gets so excited when Jordan arrives.,positive,2023-01-18T17:15:00
R000170,B000258,C0038,W0007,2,Walk was cut short. Shadow came back with energy still to burn.,negative,2023-01-20T06:30:00
R000171,B000260,C0039,W0002,5,5 stars every time. Lily has improved so much with consistent walks.,positive,2023-01-19T15:00:00
R000172,B000261,C0039,W0003,5,Cleo treats Ginger like her own. We couldn't ask for more.,positive,2023-01-16T14:15:00
R000173,B000262,C0039,W0008,5,Always on time and so communicative. Marcus is a gem.,positive,2023-01-21T13:15:00
R000174,B000263,C0040,W0003,5,Our anxious dog warmed up to Cleo immediately. That says everything.,positive,2023-01-18T03:45:00
R000175,B000265,C0041,W0006,4,Lucy absolutely adores Chris. We feel so lucky to have found her.,positive,2023-01-20T23:15:00
R000176,B000266,C0041,W0002,5,Absolutely love Devon! Lucy is always tired and happy after walks.,positive,2023-01-16T13:00:00
R000177,B000267,C0041,W0006,1,Expected GPS updates but didn't receive any for this walk.,negative,2023-01-22T14:15:00
R000178,B000269,C0042,W0006,5,Chris treats Lily like her own. We couldn't ask for more.,positive,2023-01-20T21:15:00
R000179,B000273,C0047,W0004,5,Best walker we've ever had. Sam gets so excited when Jordan arrives.,positive,2023-01-23T16:00:00
R000180,B000275,C0048,W0003,2,Felt rushed. Would have appreciated more care with Zoe.,negative,2023-01-17T13:00:00
R000181,B000276,C0049,W0006,5,Always on time and so communicative. Chris is a gem.,positive,2023-01-20T09:30:00
R000182,B000278,C0050,W0007,5,Sam absolutely adores Natalie. We feel so lucky to have found her.,positive,2023-01-19T21:15:00
R000183,B000281,C0051,W0001,5,Amara is so reliable and sends great photo updates every time.,positive,2023-01-21T22:45:00
R000184,B000282,C0051,W0004,5,Our anxious dog warmed up to Jordan immediately. That says everything.,positive,2023-01-17T13:45:00
R000185,B000283,C0051,W0002,5,Best walker we've ever had. Angel gets so excited when Devon arrives.,positive,2023-01-20T06:30:00
R000186,B000284,C0053,W0002,5,Best walker we've ever had. Penny gets so excited when Devon arrives.,positive,2023-01-19T17:00:00
R000187,B000285,C0053,W0008,5,Best walker we've ever had. Penny gets so excited when Marcus arrives.,positive,2023-01-20T16:15:00
R000188,B000286,C0054,W0004,5,Always on time and so communicative. Jordan is a gem.,positive,2023-01-17T00:15:00
R000189,B000287,C0054,W0007,2,Walk was cut short. Oscar came back with energy still to burn.,negative,2023-01-18T22:15:00
R000190,B000288,C0054,W0006,4,"Professional, caring, and thorough. Chris sends detailed reports after each visit.",positive,2023-01-19T16:45:00
R000191,B000289,C0055,W0002,3,Devon is professional. Walks are on schedule.,neutral,2023-01-20T14:45:00
R000192,B000291,C0056,W0002,3,"Reliable and punctual. Does what's asked, communication is fine.",neutral,2023-01-21T04:15:00
R000193,B000292,C0058,W0005,1,Walk was cut short. Gus came back with energy still to burn.,negative,2023-01-22T19:45:00
R000194,B000293,C0058,W0008,5,5 stars every time. Gus has improved so much with consistent walks.,positive,2023-01-22T00:15:00
R000195,B000295,C0059,W0003,4,Our anxious dog warmed up to Cleo immediately. That says everything.,positive,2023-01-18T03:45:00
R000196,B000297,C0059,W0001,5,Amara goes above and beyond. Highly recommend to anyone in the area.,positive,2023-01-18T15:15:00
R000197,B000300,C0001,W0003,5,Cleo is so reliable and sends great photo updates every time.,positive,2023-01-30T00:45:00
R000198,B000301,C0002,W0005,5,Harley absolutely adores Priya. We feel so lucky to have found her.,positive,2023-01-23T19:15:00
R000199,B000302,C0002,W0008,5,"Professional, caring, and thorough. Marcus sends detailed reports after each visit.",positive,2023-01-27T13:45:00
R000200,B000303,C0002,W0001,4,Always on time and so communicative. Amara is a gem.,positive,2023-01-27T22:00:00
R000201,B000304,C0002,W0001,5,Best walker we've ever had. Harley gets so excited when Amara arrives.,positive,2023-01-27T05:00:00
R000202,B000305,C0003,W0002,5,Devon is so reliable and sends great photo updates every time.,positive,2023-01-27T12:30:00
R000203,B000306,C0004,W0005,5,Always on time and so communicative. Priya is a gem.,positive,2023-01-28T07:45:00
R000204,B000307,C0006,W0003,3,Good experience overall. Bruno was well taken care of.,neutral,2023-01-27T13:00:00
R000205,B000309,C0006,W0006,5,Best walker we've ever had. Bruno gets so excited when Chris arrives.,positive,2023-01-30T17:45:00
R000206,B000310,C0006,W0006,5,Rosie absolutely adores Chris. We feel so lucky to have found her.,positive,2023-01-29T16:00:00
R000207,B000311,C0008,W0007,5,Natalie treats Penny like her own. We couldn't ask for more.,positive,2023-01-24T16:30:00
R000208,B000313,C0010,W0002,4,Devon treats Zeus like her own. We couldn't ask for more.,positive,2023-01-24T10:45:00
R000209,B000314,C0011,W0003,5,Cleo goes above and beyond. Highly recommend to anyone in the area.,positive,2023-01-23T04:30:00
R000210,B000315,C0011,W0006,5,Bentley absolutely adores Chris. We feel so lucky to have found her.,positive,2023-01-30T00:45:00
R000211,B000317,C0012,W0007,5,Absolutely love Natalie! Bentley is always tired and happy after walks.,positive,2023-01-27T15:45:00
R000212,B000318,C0014,W0007,5,Natalie treats Gracie like her own. We couldn't ask for more.,positive,2023-01-23T22:30:00
R000213,B000320,C0015,W0003,3,"Reliable and punctual. Does what's asked, communication is fine.",neutral,2023-01-26T18:45:00
R000214,B000321,C0015,W0002,4,Our anxious dog warmed up to Devon immediately. That says everything.,positive,2023-01-25T09:45:00
R000215,B000322,C0015,W0004,3,"Reliable and punctual. Does what's asked, communication is fine.",neutral,2023-01-28T02:45:00
R000216,B000323,C0015,W0007,4,Always on time and so communicative. Natalie is a gem.,positive,2023-01-27T05:30:00
R000217,B000325,C0019,W0002,4,Best walker we've ever had. Jax gets so excited when Devon arrives.,positive,2023-01-27T03:30:00
R000218,B000326,C0019,W0006,4,Chris goes above and beyond. Highly recommend to anyone in the area.,positive,2023-01-30T10:45:00
R000219,B000328,C0022,W0001,4,Amara is so reliable and sends great photo updates every time.,positive,2023-01-26T09:15:00
R000220,B000329,C0025,W0002,5,Absolutely love Devon! Angel is always tired and happy after walks.,positive,2023-01-30T02:30:00
R000221,B000331,C0028,W0008,5,Always on time and so communicative. Marcus is a gem.,positive,2023-01-24T21:45:00
R000222,B000332,C0029,W0001,4,Our anxious dog warmed up to Amara immediately. That says everything.,positive,2023-01-31T00:45:00
R000223,B000333,C0029,W0002,4,Best walker we've ever had. Angel gets so excited when Devon arrives.,positive,2023-01-28T15:00:00
R000224,B000335,C0030,W0007,5,Stella absolutely adores Natalie. We feel so lucky to have found her.,positive,2023-01-23T19:00:00
R000225,B000336,C0030,W0007,5,Natalie goes above and beyond. Highly recommend to anyone in the area.,positive,2023-01-28T03:15:00
R000226,B000337,C0030,W0007,4,Always on time and so communicative. Natalie is a gem.,positive,2023-01-28T01:15:00
R000227,B000338,C0030,W0003,5,"Professional, caring, and thorough. Cleo sends detailed reports after each visit.",positive,2023-01-25T13:00:00
R000228,B000339,C0030,W0007,5,Absolutely love Natalie! Stella is always tired and happy after walks.,positive,2023-01-24T00:45:00
R000229,B000340,C0030,W0003,5,"Professional, caring, and thorough. Cleo sends detailed reports after each visit.",positive,2023-01-26T22:30:00
R000230,B000341,C0031,W0002,5,Best walker we've ever had. Gus gets so excited when Devon arrives.,positive,2023-01-23T08:30:00
R000231,B000343,C0031,W0003,4,Gus absolutely adores Cleo. We feel so lucky to have found her.,positive,2023-01-25T18:45:00
R000232,B000344,C0031,W0008,5,Absolutely love Marcus! Gus is always tired and happy after walks.,positive,2023-01-24T13:15:00
R000233,B000345,C0032,W0002,4,Bella absolutely adores Devon. We feel so lucky to have found her.,positive,2023-01-25T14:30:00
R000234,B000346,C0034,W0003,5,Cleo is so reliable and sends great photo updates every time.,positive,2023-01-25T18:30:00
R000235,B000347,C0034,W0007,5,Natalie treats Coco like her own. We couldn't ask for more.,positive,2023-01-27T01:30:00
R000236,B000348,C0034,W0003,5,Cleo is so reliable and sends great photo updates every time.,positive,2023-01-28T15:45:00
